ID,GoalPos,PresPos,PresSpd,PresVolt,PresCurent,PresTemp
2.00,0.00,101.32,0.00,234.00,170.00,41.00
2.00,0.00,103.17,150.00,234.00,100.00,41.00
2.00,0.00,105.46,300.00,235.00,63.00,41.00
2.00,0.00,107.13,300.00,237.00,69.00,41.00
2.00,0.00,107.74,250.00,236.00,68.00,41.00
2.00,0.00,107.74,0.00,235.00,85.00,41.00
2.00,0.00,107.83,50.00,235.00,64.00,41.00
2.00,0.00,108.80,50.00,235.00,83.00,41.00
2.00,0.00,108.89,0.00,235.00,103.00,41.00
2.00,0.00,108.89,0.00,234.00,127.00,41.00
2.00,0.00,108.89,0.00,233.00,149.00,41.00
2.00,0.00,108.89,0.00,233.00,122.00,41.00
2.00,0.00,110.30,250.00,234.00,118.00,41.00
2.00,0.00,111.53,500.00,235.00,95.00,41.00
2.00,0.00,112.85,300.00,236.00,70.00,41.00
2.00,0.00,113.46,0.00,237.00,40.00,41.00
2.00,0.00,114.78,200.00,237.00,35.00,41.00
2.00,0.00,115.48,0.00,237.00,55.00,41.00
2.00,0.00,115.48,0.00,236.00,66.00,41.00
2.00,0.00,115.48,0.00,236.00,66.00,41.00
2.00,0.00,115.48,0.00,235.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,66.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,235.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,235.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,65.00,41.00
2.00,0.00,115.48,0.00,236.00,52.00,41.00
2.00,0.00,115.48,0.00,237.00,39.00,41.00
2.00,0.00,115.48,0.00,237.00,27.00,41.00
2.00,0.00,115.48,0.00,238.00,18.00,41.00
2.00,0.00,115.48,0.00,239.00,10.00,41.00
