ID,GoalPos,PresPos,PresSpd,PresVolt,PresCurent,PresTemp
2.00,0.00,65.70,0.00,239.00,2.00,29.00
2.00,0.00,67.73,450.00,239.00,1.00,29.00
2.00,0.00,70.28,450.00,239.00,10.00,29.00
2.00,0.00,72.12,300.00,237.00,26.00,29.00
2.00,0.00,73.97,350.00,236.00,60.00,29.00
2.00,0.00,75.64,300.00,235.00,69.00,29.00
2.00,0.00,75.82,0.00,235.00,69.00,29.00
2.00,0.00,75.82,0.00,235.00,68.00,29.00
2.00,0.00,75.82,0.00,235.00,68.00,29.00
2.00,0.00,75.82,0.00,235.00,68.00,29.00
2.00,0.00,75.82,0.00,235.00,68.00,29.00
2.00,0.00,75.82,0.00,235.00,68.00,29.00
2.00,0.00,75.82,0.00,235.00,67.00,29.00
2.00,0.00,75.82,0.00,235.00,68.00,29.00
2.00,0.00,75.82,0.00,235.00,67.00,29.00
2.00,0.00,75.82,0.00,235.00,67.00,29.00
2.00,0.00,75.82,0.00,235.00,67.00,30.00
2.00,0.00,75.82,0.00,235.00,67.00,30.00
2.00,0.00,75.82,0.00,235.00,67.00,30.00
2.00,0.00,75.82,0.00,235.00,66.00,30.00
2.00,0.00,75.82,0.00,235.00,67.00,30.00
2.00,0.00,75.82,0.00,235.00,66.00,30.00
2.00,0.00,75.82,0.00,235.00,66.00,30.00
2.00,0.00,75.82,0.00,235.00,66.00,30.00
2.00,0.00,75.82,0.00,235.00,66.00,30.00
2.00,0.00,75.82,0.00,235.00,66.00,30.00
2.00,0.00,75.82,0.00,235.00,66.00,30.00
2.00,0.00,75.82,0.00,235.00,65.00,30.00
2.00,0.00,75.82,0.00,235.00,66.00,30.00
2.00,0.00,75.82,0.00,235.00,65.00,30.00
2.00,0.00,75.82,0.00,235.00,65.00,30.00
2.00,0.00,75.82,0.00,235.00,65.00,30.00
2.00,0.00,75.82,0.00,234.00,106.00,30.00
2.00,0.00,77.22,450.00,233.00,144.00,30.00
2.00,0.00,78.98,300.00,232.00,174.00,30.00
2.00,0.00,81.62,500.00,232.00,152.00,30.00
2.00,0.00,84.79,600.00,234.00,125.00,30.00
