ID,GoalPos,PresPos,PresSpd,PresVolt,PresCurent,PresTemp
2.00,0.00,81.01,0.00,236.00,56.00,39.00
2.00,0.00,81.01,0.00,236.00,56.00,39.00
2.00,0.00,81.01,0.00,236.00,56.00,39.00
2.00,0.00,81.01,0.00,234.00,205.00,39.00
2.00,0.00,81.36,0.00,230.00,103.00,39.00
2.00,0.00,85.67,700.00,227.00,74.00,39.00
2.00,0.00,91.30,1150.00,230.00,232.00,39.00
2.00,0.00,99.30,1450.00,235.00,85.00,39.00
2.00,0.00,108.01,1550.00,237.00,26.00,39.00
2.00,0.00,115.22,1250.00,238.00,11.00,39.00
2.00,0.00,118.30,250.00,239.00,0.00,39.00
2.00,0.00,119.27,0.00,239.00,1.00,39.00
2.00,0.00,119.27,0.00,239.00,8.00,39.00
2.00,0.00,118.04,-250.00,241.00,26.00,39.00
2.00,0.00,117.42,0.00,237.00,23.00,39.00
2.00,0.00,117.42,0.00,237.00,23.00,39.00
2.00,0.00,117.42,0.00,237.00,23.00,39.00
2.00,0.00,117.42,0.00,237.00,23.00,39.00
2.00,0.00,117.42,0.00,237.00,23.00,39.00
2.00,0.00,117.51,50.00,237.00,22.00,40.00
2.00,0.00,117.51,0.00,237.00,22.00,40.00
2.00,0.00,117.51,0.00,238.00,22.00,40.00
2.00,0.00,117.51,0.00,238.00,22.00,40.00
2.00,0.00,117.51,0.00,237.00,22.00,40.00
2.00,0.00,117.51,0.00,238.00,21.00,40.00
2.00,0.00,117.51,0.00,237.00,22.00,40.00
2.00,0.00,117.51,0.00,238.00,22.00,40.00
2.00,0.00,117.51,0.00,238.00,22.00,40.00
2.00,0.00,117.51,0.00,238.00,21.00,40.00
2.00,0.00,117.51,0.00,238.00,21.00,40.00
2.00,0.00,117.51,0.00,238.00,22.00,40.00
2.00,0.00,117.51,0.00,238.00,22.00,40.00
2.00,0.00,117.51,0.00,238.00,22.00,40.00
2.00,0.00,117.51,0.00,238.00,22.00,40.00
2.00,0.00,117.51,0.00,237.00,22.00,40.00
2.00,0.00,117.51,0.00,238.00,22.00,40.00
2.00,0.00,117.51,0.00,239.00,0.00,40.00
2.00,0.00,114.61,-700.00,239.00,0.00,40.00
2.00,0.00,109.77,-900.00,239.00,0.00,40.00
2.00,0.00,103.70,-1150.00,239.00,0.00,40.00
2.00,0.00,96.84,-1200.00,239.00,5.00,40.00
2.00,0.00,90.42,-1150.00,238.00,10.00,40.00
2.00,0.00,84.44,-1050.00,238.00,45.00,40.00
2.00,0.00,81.27,-250.00,236.00,62.00,40.00
2.00,0.00,80.83,0.00,235.00,61.00,40.00
2.00,0.00,80.83,0.00,236.00,57.00,40.00
2.00,0.00,81.09,50.00,236.00,53.00,40.00
